,Appearances,Assists,Bigchancescreated,Bigchancesmissed,Blockedshots,Clearances,Club,Crosses,Fouls,Freekicksscored,Goals,Goalspermatch,Goalswithleftfoot,Goalswithrightfoot,HeadedClearance,Headedgoals,Hitwoodwork,Interceptions,Name,Offsides,Passes,Passespermatch,Penaltiesscored,Redcards,Shootingaccuracy%,Shots,Shotsontarget,Tackles,Yellowcards
39,62,3,6,15,20,26,Everton,28,61,0,12,0.19,2,8,20,1,4,8,Oumar Niasse,41,717,11.56,0,1,40%,85,34,36,5
40,9,1,3,1,3,0,Everton,5,11,0,0,9,0,0,0,0,0,2,Moise Kean,2,45,5,0,0,11%,9,1,3,0
41,111,16,21,9,46,23,Everton,119,29,0,12,0.11,1,9,10,2,4,34,Alex Iwobi,6,"3,616",32.58,0,0,42%,151,63,88,2
42,0,0,0,0,0,0,Everton,0,0,0,0,0,0,0,0,0,0,0,Anthony Gordon,0,0,0,0,0,0%,0,0,0,0
43,97,10,12,12,32,14,Leicester City,25,56,0,16,0.16,12,1,7,2,2,8,Kelechi Iheanacho,21,"1,060",10.93,0,0,37%,97,36,35,5
44,189,27,40,69,65,72,Leicester City,235,166,0,92,0.49,22,58,49,12,11,58,Jamie Vardy,176,"2,659",14.07,16,3,50%,397,198,112,19
45,155,10,21,21,50,90,Leicester City,185,159,0,37,0.24,6,25,39,6,5,129,Ayoze Pérez,42,"2,945",19,0,0,42%,244,102,212,9
46,150,30,46,38,104,54,Liverpool,152,186,0,52,0.35,12,28,42,11,7,67,Roberto Firmino,57,"5,395",35.97,2,0,44%,363,158,230,7
47,172,24,37,55,79,49,Liverpool,244,191,0,74,0.43,20,44,24,10,12,92,Sadio Mané,104,"5,345",31.08,0,3,42%,391,166,202,19
48,98,22,30,48,82,9,Liverpool,173,53,0,62,0.63,50,9,5,3,7,18,Mohamed Salah,51,"2,572",26.24,6,0,46%,344,157,46,3
49,110,18,32,10,49,15,Liverpool,549,78,3,21,0.19,17,3,8,1,4,43,Xherdan Shaqiri,29,"2,958",26.89,0,0,34%,184,63,69,12
50,0,0,0,0,0,0,Liverpool U19,0,0,0,0,0,0,0,0,0,0,0,Rhian Brewster,0,0,0,0,0,0%,0,0,0,0
51,73,5,2,8,19,6,Liverpool,62,38,0,16,0.22,1,9,1,6,4,5,Divock Origi,26,745,10.21,0,0,43%,80,34,31,0
52,23,1,3,2,3,2,Manchester City,10,6,0,1,0.04,0,0,0,1,1,5,Phil Foden,0,315,13.7,0,0,50%,18,9,11,0
53,175,34,67,25,107,45,Manchester City,673,106,3,49,0.28,39,6,21,3,10,130,Riyad Mahrez,35,"5,228",29.87,7,0,44%,372,165,191,7
54,238,44,58,60,139,51,Manchester City,493,283,0,73,0.31,22,47,19,4,18,116,Raheem Sterling,92,"7,550",31.72,1,1,40%,482,194,242,27
55,251,45,58,121,219,13,Manchester City,171,161,0,173,0.69,33,122,3,17,32,72,Sergio Agüero,191,"5,960",23.75,26,1,41%,962,395,148,22
56,89,28,31,17,39,13,Manchester City,243,47,0,25,0.28,23,1,5,0,7,38,Leroy Sané,37,"2,629",29.54,0,0,40%,146,58,86,9
57,78,11,11,39,24,11,Manchester City,8,61,0,30,0.38,8,14,7,8,5,16,Gabriel Jesus,46,"1,310",16.79,2,0,55%,150,82,39,10
58,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0,Ian Carlo Poveda-Ocampo,0,0,0,0,0,0%,0,0,0,0
59,4,0,0,1,1,1,Manchester United,0,2,0,0,4,0,0,0,0,0,0,Tahith Chong,0,25,6.25,0,0,50%,2,1,0,0
60,124,18,22,32,65,60,Manchester United,242,78,1,34,0.27,3,28,28,3,5,29,Marcus Rashford,44,"2,300",18.55,2,1,42%,245,102,70,11
61,121,20,29,17,55,41,Manchester United,190,106,0,37,0.31,9,26,20,2,3,25,Anthony Martial,41,"3,127",25.84,2,0,45%,205,92,64,8
62,13,0,0,4,1,1,Manchester United,5,1,0,1,0.08,1,0,0,0,2,0,Mason Greenwood,2,107,8.23,0,0,57%,14,8,4,0
63,22,0,0,2,1,3,Newcastle United,4,14,0,1,0.05,1,0,2,0,0,5,Yoshinori Muto,5,130,5.91,0,0,43%,7,3,8,1
64,13,1,0,3,4,16,Newcastle United,0,9,0,1,0.08,1,0,11,0,0,6,Joelinton,10,306,23.54,0,0,26%,23,6,10,2
65,9,0,1,3,6,2,Newcastle United,17,5,0,0,9,0,0,1,0,1,3,Allan Saint-Maximin,0,109,12.11,0,0,40%,15,6,2,0
66,102,4,4,18,36,32,West Bromwich Albion,61,72,2,21,0.21,6,13,18,2,3,24,Dwight Gayle,32,"1,057",10.36,2,1,36%,137,49,50,6
67,218,18,26,47,99,298,Newcastle United,109,300,1,53,0.24,23,6,174,24,12,72,Andy Carroll,71,"4,521",20.74,2,2,33%,516,170,100,32
68,13,3,4,4,8,2,Norwich City,3,11,0,6,0.46,1,5,1,0,0,3,Teemu Pukki,6,203,15.62,0,0,51%,35,18,6,2
69,6,0,0,0,0,1,Norwich City,0,1,0,1,0.17,1,0,1,0,0,0,Dennis Srbeny,0,13,2.17,0,0,100%,1,1,5,0
70,8,0,0,1,0,1,Norwich City,1,0,0,1,0.12,0,1,0,0,1,0,Josip Drmic,1,25,3.12,0,0,33%,3,1,1,0
71,0,0,0,0,0,0,Norwich City,0,0,0,0,0,0,0,0,0,0,0,Adam Idah,0,0,0,0,0,0%,0,0,0,0
72,10,0,2,1,0,2,Sheffield United,2,8,0,1,0.1,1,0,2,0,0,1,Billy Sharp,2,65,6.5,0,1,100%,2,2,2,0
73,10,1,1,8,2,8,Sheffield United,5,12,0,0,10,0,0,8,0,0,1,David McGoldrick,3,206,20.6,0,0,63%,19,12,18,1
74,15,1,1,1,3,3,Sheffield United,17,7,0,1,0.07,0,1,3,0,0,6,Callum Robinson,2,126,8.4,0,0,31%,13,4,4,0
75,68,3,5,6,17,16,Sheffield United,16,33,0,7,0.1,0,6,10,1,0,5,Lys Mousset,10,421,6.19,0,0,33%,58,19,22,2
76,27,1,2,1,1,21,Sheffield United,5,15,0,2,0.07,0,1,20,1,0,5,Oliver McBurnie,1,259,9.59,0,0,39%,18,7,11,2
77,1,0,0,1,0,0,Wigan Athletic,0,0,0,0,1,0,0,0,0,0,0,Leon Clarke,0,3,3,0,0,1%,1,0,0,0
78,299,21,23,58,48,169,Southampton,290,366,0,53,0.18,11,28,104,13,15,120,Shane Long,175,"4,192",14.02,1,0,40%,369,147,214,28
79,12,1,1,4,3,0,Southampton,1,5,0,1,0.08,0,1,0,0,0,3,Michael Obafemi,1,43,3.58,0,0,33%,9,3,1,1
80,86,8,12,19,42,22,Southampton,70,62,0,27,0.31,8,12,10,7,4,30,Danny Ings,32,"1,420",16.51,4,0,39%,198,77,81,9
81,0,0,0,0,0,0,Southampton,0,0,0,0,0,0,0,0,0,0,0,Daniel N'Lundulu,0,0,0,0,0,0%,0,0,0,0
82,141,23,23,24,84,33,Tottenham Hotspur,165,54,0,46,0.33,20,24,13,2,11,40,Son Heung-Min,85,"3,182",22.57,0,2,41%,301,122,97,4
83,193,19,31,79,178,122,Tottenham Hotspur,167,185,1,132,0.68,31,80,88,20,22,56,Harry Kane,148,"4,035",20.91,19,0,45%,730,327,126,23
84,0,0,0,0,0,0,Tottenham Hotspur,0,0,0,0,0,0,0,0,0,0,0,Troy Parrott,0,0,0,0,0,0%,0,0,0,0
85,112,18,23,12,31,14,Watford,392,38,0,18,0.16,4,14,3,0,5,52,Gerard Deulofeu,55,"2,123",18.96,1,0,48%,148,71,57,9
86,139,18,26,24,66,147,Watford,66,162,0,37,0.27,1,28,108,8,2,43,Troy Deeney,66,"3,551",25.55,13,2,41%,239,97,110,18
87,51,2,4,7,12,20,Watford,28,36,0,2,0.04,0,1,15,1,0,9,Isaac Success,13,486,9.53,0,0,41%,44,18,31,6
88,104,7,11,25,32,10,Watford,46,45,1,23,0.22,5,16,5,2,0,11,Andre Gray,64,"1,028",9.88,2,0,41%,132,54,18,6
89,211,20,22,48,97,109,Watford,37,114,0,42,0.2,10,20,59,12,8,150,Danny Welbeck,35,"3,804",18.03,0,0,39%,367,143,233,13
